V,E,F,countbasetissues,basetissues,countatissues,atissues,countbtissues,btissues,from,to
66,111,56,1,64,7,98335,8,30624,30782462,30560246
10,9,56,1,16384,7,8430,8,105745,33395893,33246002
12,12,45,1,2048,9,4735,5,123136,39728856,39559541
18,17,40,1,2,5,8396,8,105745,33664358,33964430
14,13,40,1,512,8,6255,5,123136,39729857,39559541
61,60,40,1,16384,10,16143,4,98384,33041016,33033219
56,58,36,1,1,9,32524,4,98384,33041016,33033219
47,50,36,2,514,9,32013,4,98384,32761258,32929979
46,49,36,2,1026,9,31501,4,98384,32761258,32929979
48,51,36,2,2050,9,30477,4,98384,32761258,32929979
46,47,36,2,8194,9,24333,4,98384,32756258,32929979
56,58,36,2,520,9,32007,4,98384,33041016,33033219
54,56,36,2,1032,9,31495,4,98384,33041016,33033219
56,58,36,2,2056,9,30471,4,98384,33041016,33033219
55,57,36,2,4104,9,28423,4,98384,33041016,33033219
54,56,36,2,8200,9,24327,4,98384,33041016,33033219
22,21,36,1,128,12,32559,3,98320,32655535,32929979
63,74,36,2,33792,9,97057,4,78,38933879,38639305
56,105,35,2,1280,7,129536,5,87,40810990,40725319
57,109,35,2,4352,7,126464,5,87,40810990,40725319
12,15,33,2,264,11,32486,3,98320,33981103,33783127
30,29,33,1,32,11,32527,3,98320,32655535,32929979
49,53,33,0,0,3,25088,11,100831,47750782,48070863
20,36,32,2,520,8,28902,4,98321,33981103,33783127
10,9,32,1,32,4,204,8,97297,44357576,44564257
15,14,32,1,32,4,204,8,105745,33630002,33466180
64,78,32,2,1536,8,129312,4,78,38933879,38639305
55,57,30,2,1025,10,129952,3,70,38933879,38639305
56,57,30,2,2049,10,128928,3,70,38933879,38639305
19,25,30,2,1032,10,31462,3,98320,33978259,33783127
19,26,30,2,2056,10,30438,3,98320,33750854,34851911
19,27,30,2,4104,10,28390,3,98320,33778578,33964430
59,67,30,1,32,10,130817,3,14,38878663,38739710
54,104,30,3,2816,6,128000,5,87,40707457,40725319
55,111,30,3,8960,6,121856,5,87,40545297,40817139
52,101,30,3,18688,6,112128,5,87,40707457,40725319
53,105,30,3,24832,6,105984,5,87,40707457,40725319
98,247,30,3,67072,5,63488,6,95,40540879,40725319
96,218,30,3,68096,5,62464,6,95,40624646,40725319
99,240,30,3,70144,5,60416,6,95,40698852,40725319
100,255,30,3,74240,5,56320,6,95,40540879,40725319
100,214,30,2,33280,6,97280,5,87,40150090,40817139
100,271,30,2,3072,5,94720,6,95,40624646,40725319
99,234,30,3,70656,5,59904,6,95,40540879,40725319
95,206,30,2,33792,6,96768,5,87,40150090,40817139
95,214,30,3,71680,5,58880,6,95,40624646,40725319
95,217,30,3,83968,5,46592,6,95,40624646,40725319
91,184,30,2,34816,6,95744,5,87,40814145,40725319
99,241,30,3,77824,5,52736,6,95,40698852,40725319
100,240,30,3,86016,5,44544,6,95,40540879,40725319
97,202,30,2,36864,6,93696,5,87,40540879,40725319
78,151,28,3,13,4,98322,7,29600,30535056,30745534
26,46,28,2,16392,7,8934,4,98321,33948908,33783127
67,86,28,2,2560,7,128256,4,78,38950467,38639305
59,72,28,2,4608,7,126208,4,78,38648329,38739710
72,92,28,2,8704,7,122112,4,78,38950467,38639305
68,83,28,2,33280,7,97536,4,78,38737435,40717685
70,87,28,2,66048,7,64768,4,78,38737435,40717685
62,75,28,2,3072,7,127744,4,78,38933879,38639305
65,73,28,2,5120,7,27404,4,98384,33041016,33033219
66,86,28,2,18432,7,112384,4,78,38948501,38639305
63,75,28,2,34816,7,96000,4,78,38948501,38639305
59,72,28,2,20480,7,110336,4,78,38648329,38739710
58,60,27,2,513,9,130336,3,70,38648329,38739710
43,43,27,2,10,9,32517,3,98320,32761258,32929979
33,45,27,1,64,3,14,9,130816,39504935,39290555
50,60,27,2,1280,9,129569,3,70,38933879,38639305
54,64,27,2,5120,9,125729,3,70,38648329,38739710
13,12,27,2,66560,3,32840,9,31156,26764938,27105569
11,12,27,1,2048,3,28672,9,98779,43873877,43771296
57,66,27,2,36864,9,93985,3,70,38648329,38739710
12,11,26,1,64,13,32687,2,65552,32602915,32929979
58,85,25,1,4,5,234,5,98577,33981103,33783127
56,87,25,1,128,5,110,5,98577,33630002,33466180
15,15,25,1,4096,5,2063,5,123136,39729857,39559541
95,206,25,3,57344,5,73216,5,87,40823410,40717685
93,195,25,3,106496,5,24064,5,87,40540879,40725319
13,12,24,2,9,12,98022,2,272,46963492,47252841
36,43,24,1,1,3,14,8,89488,43227866,43534937
30,31,24,1,1,6,32256,4,480,42817761,42724710
17,17,24,5,107522,6,23052,4,240,26986080,30392828
65,72,24,1,4,6,16128,4,98384,32444699,32929979
38,55,24,2,8200,6,16614,4,98321,34006104,33750854
22,27,24,1,16,6,32256,4,480,42805438,42793142
10,9,24,1,64,2,10,12,130961,35274443,35009276
52,61,24,2,4352,8,126496,3,70,38634413,38739710
56,71,24,3,24832,6,105984,4,78,38737435,40717685
100,270,24,3,22528,4,75264,6,95,40823410,40717685
58,69,24,2,12288,8,118560,3,70,38648329,38739710
69,75,24,2,12288,6,20228,4,98384,33041016,33033219
67,83,24,3,106496,6,24320,4,78,38737435,40717685
11,10,24,1,65536,2,32784,12,32742,31818578,31808588
65,113,21,2,1056,7,129536,3,84,40548783,40817139
69,121,21,2,8224,7,122368,3,84,40150090,40817139
62,100,21,2,1152,7,129536,3,84,40545297,40817139
54,64,21,3,41216,7,89632,3,70,38737435,40717685
57,71,21,2,6144,7,124672,3,70,38648329,38739710
53,59,20,1,1,5,31744,4,480,19085116,19267332
18,19,20,5,103426,5,26636,4,240,26986080,30392828
12,12,20,1,2,2,12,10,93649,37702615,37763542
33,59,20,1,2,5,236,4,98321,33981103,33783127
11,10,20,2,20,10,65248,2,257,46215183,45965151
45,78,20,1,32,4,204,5,98577,34006104,33750854
22,21,20,1,64,2,98304,10,31668,22334106,19859645
11,10,20,1,256,4,98314,5,30736,19859645,26771945
10,9,20,1,512,5,99331,4,26640,26761070,22369538
75,82,20,2,10240,5,5892,4,98384,31744029,32449210
69,86,20,3,57344,5,73216,4,78,38948501,38639305
58,59,18,2,32769,9,98080,2,6,38648329,38739710
17,18,18,5,72706,6,57868,3,112,26986080,30392828
16,16,18,5,76802,6,53772,3,112,26986080,30392828
31,43,18,2,32776,9,97952,2,80,40725319,40750694
31,43,18,2,65544,9,65184,2,80,40725319,40750694
24,25,18,1,16,3,14,6,124160,39141947,39290555
